name,win_probability,risk_fraction,cost_r,activity_probability,loss_persistence,floor,gap_probability_given_loss,gap_loss_r,n_paths,horizon_sessions,passed,breached,unresolved,pass_pct,breach_pct,unresolved_pct,pass_ci_low_pct,pass_ci_high_pct,median_days_if_pass,median_trades,dd95_pct,gross_expectancy_r,daily_intrabar_compliance
p35%_f0.25%,0.35,0.0025,0.1,0.6,,static,0.0,3.0,20000,60,0,1,19999,0.0,0.005,99.995,0.0,0.019203605610462554,,36.0,5.004580745607578,-0.06666666666666665,NOT ESTIMATED
p35%_f0.50%,0.35,0.005,0.1,0.6,,static,0.0,3.0,20000,60,133,2239,17628,0.6649999999999999,11.195,88.14,0.5614465219510906,0.7875016757047527,45.0,35.0,8.61809717749854,-0.06666666666666665,NOT ESTIMATED
p35%_f0.75%,0.35,0.0075,0.1,0.6,,static,0.0,3.0,20000,60,916,7267,11817,4.58,36.335,59.085,4.298894110133839,4.878550445202706,37.0,33.0,10.476959051213075,-0.06666666666666665,NOT ESTIMATED
p40%_f0.25%,0.4,0.0025,0.1,0.6,,static,0.0,3.0,20000,60,1,0,19999,0.005,0.0,99.995,0.0008826282272974824,0.02831905702260402,48.0,36.0,4.174065032556362,0.06666666666666676,NOT ESTIMATED
p40%_f0.50%,0.4,0.005,0.1,0.6,,static,0.0,3.0,20000,60,652,711,18637,3.26,3.5549999999999997,93.185,3.022716884686837,3.515234645837823,46.0,36.0,8.112717121667645,0.06666666666666676,NOT ESTIMATED
p40%_f0.75%,0.4,0.0075,0.1,0.6,,static,0.0,3.0,20000,60,2683,3491,13826,13.415,17.455000000000002,69.13,12.949684138784187,13.894367139440986,37.0,34.0,9.866617292625223,0.06666666666666676,NOT ESTIMATED
p45%_f0.25%,0.45,0.0025,0.1,0.6,,static,0.0,3.0,20000,60,6,0,19994,0.03,0.0,99.97,0.01374997137187844,0.06544211207521783,54.0,36.0,3.405078465284972,0.19999999999999996,NOT ESTIMATED
p45%_f0.50%,0.45,0.005,0.1,0.6,,static,0.0,3.0,20000,60,2073,171,17756,10.365,0.855,88.78,9.9501515853621,10.795071112805315,46.0,35.0,6.705564193429048,0.19999999999999996,NOT ESTIMATED
p45%_f0.75%,0.45,0.0075,0.1,0.6,,static,0.0,3.0,20000,60,5927,1391,12682,29.635,6.955,63.41,29.00609038014239,30.27173124842275,37.0,34.0,9.116831149609506,0.19999999999999996,NOT ESTIMATED
p50%_f0.25%,0.5,0.0025,0.1,0.6,,static,0.0,3.0,20000,60,61,0,19939,0.305,0.0,99.695,0.23753473337830028,0.3915517302379385,55.0,36.0,2.7593365314020457,0.33333333333333337,NOT ESTIMATED
p50%_f0.50%,0.5,0.005,0.1,0.6,,static,0.0,3.0,20000,60,4894,32,15074,24.47,0.16,75.37,23.879126931545137,25.070678429479564,45.0,35.0,5.4547589538571195,0.33333333333333337,NOT ESTIMATED
p50%_f0.75%,0.5,0.0075,0.1,0.6,,static,0.0,3.0,20000,60,10247,403,9350,51.235,2.015,46.75,50.54208881523109,51.92743685571032,36.0,31.0,8.010511562580069,0.33333333333333337,NOT ESTIMATED
